iter	Passed	Remaining
555	2051	1638
556	2054	1634
557	2057	1630
558	2060	1625
559	2063	1621
560	2067	1617
561	2070	1613
562	2073	1609
563	2076	1605
564	2079	1601
565	2082	1596
566	2085	1592
567	2088	1588
568	2092	1584
569	2095	1580
570	2098	1576
571	2101	1572
572	2104	1568
573	2107	1564
574	2110	1560
575	2113	1556
576	2117	1552
577	2120	1547
578	2123	1544
579	2131	1543
580	2134	1539
581	2137	1535
582	2140	1531
583	2143	1527
584	2147	1523
585	2150	1518
586	2153	1514
587	2156	1511
588	2159	1507
589	2162	1503
590	2166	1499
591	2169	1495
592	2173	1491
593	2176	1487
594	2180	1484
595	2183	1480
596	2187	1476
597	2191	1473
598	2194	1469
599	2198	1465
600	2201	1461
601	2206	1458
602	2209	1454
603	2213	1451
604	2216	1447
605	2220	1443
606	2223	1439
607	2227	1435
608	2230	1432
609	2234	1428
610	2237	1424
611	2241	1421
612	2244	1417
613	2248	1413
614	2252	1410
615	2256	1406
616	2259	1402
617	2262	1398
618	2266	1394
619	2269	1391
620	2273	1387
621	2276	1383
622	2279	1379
623	2282	1375
624	2286	1371
625	2289	1367
626	2292	1363
627	2295	1360
628	2299	1356
629	2302	1352
630	2305	1348
631	2309	1344
632	2312	1340
633	2315	1336
634	2318	1332
635	2322	1329
636	2325	1325
637	2328	1320
638	2331	1316
639	2334	1313
640	2337	1309
641	2340	1305
642	2344	1301
643	2346	1297
644	2350	1293
645	2353	1289
646	2356	1285
647	2359	1281
648	2362	1277
649	2365	1273
650	2368	1269
651	2371	1265
652	2374	1261
653	2377	1257
654	2381	1254
655	2384	1250
656	2387	1246
657	2410	1252
658	2419	1251
659	2427	1250
660	2435	1248
661	2440	1246
662	2445	1242
663	2452	1240
664	2455	1237
665	2458	1232
666	2461	1228
667	2464	1224
668	2467	1220
669	2470	1216
670	2472	1212
671	2475	1208
672	2478	1204
673	2481	1200
674	2484	1196
675	2487	1192
676	2490	1188
677	2493	1184
678	2496	1180
679	2498	1175
680	2501	1171
681	2504	1167
682	2507	1163
683	2510	1159
684	2513	1155
685	2516	1151
686	2518	1147
687	2521	1143
688	2531	1142
689	2534	1138
690	2537	1134
691	2540	1130
692	2543	1126
693	2546	1122
694	2549	1118
695	2552	1114
696	2560	1113
697	2563	1109
698	2566	1105
699	2569	1101
700	2572	1097
701	2575	1093
702	2577	1089
703	2580	1085
704	2583	1081
705	2586	1077
706	2589	1073
707	2592	1069
708	2595	1065
709	2598	1061
710	2601	1057
711	2603	1053
712	2606	1049
713	2609	1045
714	2612	1041
715	2615	1037
716	2618	1033
717	2621	1029
718	2624	1025
719	2627	1021
720	2630	1017
721	2633	1013
722	2636	1009
723	2638	1005
724	2641	1002
725	2644	998
726	2648	994
727	2650	990
728	2653	986
729	2656	982
730	2659	978
731	2662	974
732	2665	970
733	2668	966
734	2670	962
735	2674	959
736	2677	955
737	2679	951
738	2682	947
739	2685	943
740	2688	939
741	2691	935
742	2694	932
743	2697	928
744	2700	924
745	2703	920
746	2706	916
747	2713	914
748	2716	910
749	2718	906
750	2722	902
751	2725	898
752	2728	894
753	2731	891
754	2733	887
755	2736	883
756	2739	879
757	2742	875
758	2745	871
759	2748	867
760	2750	863
761	2754	860
762	2756	856
763	2759	852
764	2762	848
765	2765	844
766	2768	840
767	2771	837
768	2774	833
769	2777	829
770	2779	825
771	2782	821
772	2785	818
773	2788	814
774	2791	810
775	2794	806
776	2797	802
777	2800	799
778	2803	795
779	2806	791
780	2809	787
781	2812	783
782	2814	780
783	2818	776
784	2821	772
785	2824	769
786	2827	765
787	2830	761
788	2832	757
789	2836	753
790	2839	750
791	2841	746
792	2844	742
793	2847	738
794	2850	734
795	2853	731
796	2856	727
797	2858	723
798	2861	719
799	2864	716
800	2868	712
801	2870	708
802	2873	705
803	2876	701
804	2879	697
805	2882	693
806	2885	690
807	2888	686
808	2891	682
809	2894	678
810	2897	675
811	2900	671
812	2903	667
813	2906	664
814	2909	660
815	2912	656
816	2915	653
817	2918	649
818	2921	645
819	2923	641
820	2926	638
821	2929	634
822	2932	630
823	2935	627
824	2938	623
825	2941	619
826	2944	615
827	2947	612
828	2950	608
829	2952	604
830	2956	601
831	2959	597
832	2962	593
833	2966	590
834	2968	586
835	2974	583
836	2977	579
837	2980	576
838	2983	572
839	2986	568
840	2988	565
841	2991	561
842	2994	557
843	2997	554
844	3000	550
845	3003	546
846	3006	543
847	3009	539
848	3012	535
849	3015	532
850	3018	528
851	3021	524
852	3024	521
853	3027	517
854	3030	513
855	3033	510
856	3036	506
857	3039	502
858	3042	499
859	3045	495
860	3048	492
861	3051	488
862	3054	484
863	3056	481
864	3059	477
865	3063	473
866	3066	470
867	3068	466
868	3071	463
869	3074	459
870	3078	455
871	3080	452
872	3083	448
873	3086	444
874	3089	441
875	3092	437
876	3095	434
877	3098	430
878	3101	426
879	3104	423
880	3107	419
881	3111	416
882	3114	412
883	3117	409
884	3119	405
885	3122	401
886	3126	398
887	3129	394
888	3132	391
889	3135	387
890	3138	383
891	3142	380
892	3145	376
893	3148	373
894	3151	369
895	3155	366
896	3158	362
897	3161	359
898	3164	355
899	3168	352
900	3171	348
901	3174	344
902	3177	341
903	3180	337
904	3184	334
905	3187	330
906	3190	327
907	3193	323
908	3196	320
909	3199	316
910	3203	312
911	3206	309
912	3210	305
913	3212	302
914	3216	298
915	3219	295
916	3222	291
917	3225	288
918	3229	284
919	3232	281
920	3235	277
921	3238	274
922	3242	270
923	3245	266
924	3248	263
925	3251	259
926	3255	256
927	3268	253
928	3271	250
929	3274	246
930	3278	242
931	3281	239
932	3284	235
933	3287	232
934	3298	229
935	3301	225
936	3304	222
937	3307	218
938	3310	215
939	3313	211
940	3316	207
941	3319	204
942	3322	200
943	3325	197
944	3328	193
945	3331	190
946	3334	186
947	3337	183
948	3340	179
949	3343	175
950	3346	172
951	3349	168
952	3352	165
953	3355	161
954	3358	158
955	3361	154
956	3364	151
957	3367	147
958	3371	144
959	3373	140
960	3376	137
961	3379	133
962	3383	129
963	3386	126
964	3389	122
965	3392	119
966	3395	115
967	3398	112
968	3401	108
969	3404	105
970	3407	101
971	3410	98
972	3413	94
973	3416	91
974	3419	87
975	3422	84
976	3425	80
977	3428	77
978	3431	73
979	3435	70
980	3438	66
981	3441	63
982	3443	59
983	3446	56
984	3450	52
985	3452	49
986	3455	45
987	3459	42
988	3461	38
989	3465	35
990	3468	31
991	3471	27
992	3474	24
993	3477	20
994	3480	17
995	3483	13
996	3486	10
997	3501	7
998	3504	3
999	3507	0
